日期,时间,年份,月份,国家,省市,地点,姓名,性别,身份证号,手机号,座机号/传真,政治面貌,民族,学历,专业,公司,职位,uuid,邮箱,哈希值,域名,ipv4地址,ipv6地址,mac地址,url,用户名,车牌号,信用卡号,银行名称,组织机构代码,统一社会信用代码,机关单位,医院,学校,港澳通行证号,台湾通行证号,永久居住证号,中国护照,税务登记证号,医师资格证书编号,医师执业证书编号,营业执照,车辆识别代号,公积金号,开户许可证号,银行卡号,军官证号,道路运输经营许可证号,军密认证号,药品名称,药品分类,药品规格,药品用途,药品用法,药品用量,手术类型,手术名称,科室名称,科室介绍,医疗设备,医生职称,检查指标,项目名称,项目描述,耗材名称,疾病名称,手术部位,手术器械名称,付费方式,状况状态,婚姻状况,就业状态,宗教信仰,麻醉方式,麻醉效果,血型,药物状态,分娩方式,乳房检查,胎方位,检查检验结果,病症描述,医嘱内容
二零零五年九月,2005-09-23 03:11,一九七二,January,牙买加,西宁市,江西省新余市分宜县操场乡塘西村,王楠,男性,150102196806140263,14771379386,0438-734-146,中共党员,汉族,夜大,卫生检验与检疫,艾提科信网络有限公司,主播,7b6664e9-c85a-11ed-a681-f4b5204be593,vxie@sina.net,31e55c08151faf22abd57f75d95b17de,ming.cn,215.110.177.35,439:aceb:5e47:5971:1f46:8738:e0d7:a941,9b:44:c4:24:d3:f2,http://xiulanjing.cn/,wulin,WJ冀9084S,4637967027755134,中国农业银行,86117396-6,91210202TNWAXXD05K,儋州市民政厅,重庆市第二人民医院,齐鲁工业大学,R8820493088,T55795704,BDS235815116670,G55857801,141024C91DDTJT2,200950747142328003353116672,144433030925040,410900100014016,LEWWDB332KN231389,136437815209,J1632651727406,6250954206095620096,后字第5608268号,鄂交运管许可掇字420804133160号,军密认字第5748号,阿莫西林,处方药,片剂,治疗肺部感染、尿路感染、伤寒等疾病,口服,成人：每次0.25-0.5g，每日3次，饭前或饭后30分钟服用。,呼吸内科手术,支气管肺泡灌洗术,血液内科,主要进行各种血液疾病的诊治，如急性白血病、淋巴瘤等,造血干细胞采集器、自动细胞分离仪、多功能血常规仪等,主任医师、副主任医师、医师、技师、护士,降钙素原（PCT）,腿部血管超声,腿部血管超声是一种使用超声波技术来检查腿部血管和血流的医学影像检查方法。,救生衣,眼斑,皮肤组织,手术镜、手术钩、手术刀,公费医疗,恶化,已婚,在职,摩门教,硬膜外麻醉,无痛,Rh阳性,已开封,产瘤助产,乳腺触诊,头先露,血脂异常,胸痛,不适宜饮用大量水分，更不能喝酒。根据情况选择盐的限制，控制 proteinuria、适度运动、避免中药乱用。
3月27日,二零一九年三月二十七日一十三时四十四分,一九九零,10月,Malaysia,中山市,河南省红市海港谭街,张凤兰,Female,542200193805039757,138-8279-8016,0835-3432-6409,民盟盟员,汉族,夜大,特种能源技术与工程,创亿传媒有限公司,旋压工,2f0deac5-8d76-413f-9fcd-13ac4f446998,cliao@189.org,c0c5e704ca29e0b96f9f19973d2b8aee,taofang.org,93.188.121.144,1f4a:912a:695f:187c:477:ade6:1971:249e,8d:89:25:dd:6e:3f,http://www.nalei.cn/,lgl,鲁Z-L4AUZ,4055907339436265,宁波银行,13649684-2,93622926876840768K,山西省社会主义学院,广州市工人医院,烟台旅游学校,M6680288392,T23461548,BOZ745424556983,G80250115,612621NR2T46E2X,200321712370782003424919552,144210903516399,410900100013765,LEWWDB332KN231579,194680630209,L8015871746622,4984511576291279872,装字第1299921号,粤交运管许可梅字441402775618号,军密认字第0730号,多潘立酮,处方药,片剂,缓解消化不良等症状,口服,每次1片，每日3-4次。,耳鼻喉科手术,人工耳蜗植入术,脑外科,主要进行脑部手术和脑部疾病治疗，如脑膜瘤切除、颅内嗜酸性肉芽肿切除等,显微手术镜、神经影像仪、颅内压监测仪等,主任医师、副主任医师、医师、技师、护士,甘油三酯（TG）,B超检查,超声波检查是一种使用超声波技术来检查人体内部器官和软组织的医学影像检查方法。,手术针,尾椎脊髓元瘤,脑部,电切器、手术马克、心电图机,保险,重症,未婚,学生,佛教,局部麻醉,轻度疼痛,B型,已开封,产钳助产,乳腺X线摄影,臀先露,血脂异常,多尿,制定合理的饮食计划，避免食用高嘌呤食物，如动物内脏、肉类、海鲜等。保持适当的运动量，避免过度劳累。
2001-06,06 11 16:49,1981,October,伊拉克,长沙,宁夏回族自治区福州市秀英侯街s座,刘峰,男性,610423199108068770,13142387372,05565458305,共青团员,汉族,非全日制初中,亚美尼亚语,易动力网络有限公司,停车管理员,917ce63b-c85a-11ed-bd97-f4b5204be593,xialuo@139.com,c60d994028bc83038a80d1d4beadb0b7,xia.cn,82.164.106.116,2bea:f003:743:e0f2:ea15:11a2:ff24:9f97,cd:b3:9b:b3:ac:22,https://dummyimage.com/423x479,xujianhua,琼S-6XL105,6011549783831068,花旗(台湾)银行,58954973-2,11652722Y3TU6U097K,海南共青团,宁波市第一医院,聊城大学东昌学院,C9668645851,T42654668,GRK590518500135,G42020262,1306350U6CU4D33,200546766152199993871564800,142350500726588,410900100014154,LEWWDB332KN231380,199390444209,J8994668287451,6255988601628550144,证字第4831760号,沪交运管许可普字310107572535号,军密认字第1262号,克拉霉素,处方药,片剂,治疗细菌感染,口服,每日1-2次，剂量因病情而异。,神经内科手术,颈丛神经切断术,营养科,主要进行患者营养状态的评估和调节，如糖尿病、高血压等,营养配餐仪、体重秤、腰围仪等,主任医师、副主任医师、医师、营养师、技师、护士,生长激素（GH）,骨密度检查,采用X光或超声波检查骨头钙化情况，评估患者骨质状况,纱布,甲瓦藻中毒,全身,手术刀、手术钳、除颤器,医疗补助,疑似,复婚,离职,耶和华见证人,脊麻醉,麻痹,O型,未开封,剖腹产,乳腺活检,足先露,血糖水平高,乏力,戒烟、减少空气污染、运动锻炼、使用药物（如吸入性支气管扩张剂、口服或吸入性类固醇等）等。
201754,08:38,1971,三月,中国,北京,河南省秀兰市双滦荆门路s座,侯飞,Male,420624196509054503,+86188-8630-0458,077424938740,共青团员,汉族,电大,纺织工程,富罳网络有限公司,新能源电控工程师,d1f5307e-c85a-11ed-ae3c-f4b5204be593,chengming@163.org,5d35dc399e0d7e7eed9f3126b51c276b7424a46d3339836aa37f0753f560c11e,31.cn,196.37.22.24,44a9:8bd0:5244:a895:be55:d475:877c:4d04,7d:65:e7:0e:60:dd,https://picsum.photos/727/590,wangcheng,渝V Y8WT6,2700819130916275,花旗中国银行,18BL3NXB-5,93152923129268948Y,辽宁抚顺组织部,上海交通大学附属瑞金医院,浙江育英职业技术学院,B0146340257,T40046365,CXE219990455578,P17424113,41030194M9D0TY2,200423029650103006323015680,147542426596271,410900100013559,LEWWDB332KN231550,151058538209,L6129664960085,6212677338235329536,后字第4605727号,赣交运管许可乐字361025998650号,军密认字第3626号,舒尼替尼,抗癌药,胶囊,治疗慢性髓细胞白血病等疾病,口服,成人：一次50mg，每日2次。,胸外科手术,食管癌根治术,疼痛科,对各种疼痛进行诊断和治疗，如慢性疼痛、神经性疼痛等,缓解疼痛用药、电疗仪、诊断设备等,主任医师、医师、技师、护士,类风湿因子（RF）,血常规检查,检查血液中的各项指标，了解患者身体状况,除颤器,肝病,肝胆系统,麻醉机、吸氧机、手术剪刀,医疗补助,隔离期,未婚,无业,泛神论,脊麻醉,轻度疼痛,O型,未开封,产钳助产,乳腺X线摄影,臀先露,血糖水平高,气促,忌食刺激性食物、非甘油类泻药，并按照医生嘱咐使用相应药物。
2012216,23:15:41,二零一七年,三月,中国,山西运城,河南省濮阳市华龙区新习乡道口村,罗明,男性,630223910402717,15101159934,0535377611,中共党员,汉族,非全日制普通初级中学,波斯语,良诺传媒有限公司,高级客户经理,8099fec9-c85a-11ed-8de9-f4b5204be593,jiaming@126.com,69caec4d24bc82f042bc09979c5bd916,tao.cn,19.137.240.211,e82b:b611:8e56:ed02:acfc:663f:f3fa:3459,94:38:d1:3b:4f:8c,https://placekitten.com/270/451,wangmin,桂A-98Q7NB,3510540755407329,廊坊融商村镇银行,68732584-7,12350202C2F4DHJW6H,岳阳贸促会,大理市第一人民医院,四平职业大学,B1659783563,T93469648,XOL743469016279,E04577040,3402008EFT9PU52,201031635452225998999781376,147441225423299,410900100013530,LEWWDB332KN231260,148050649209,J3070144129094,6217334744987899904,参字第3314420号,苏交运管许可启字320681105002号,军密认字第4620号,注射用氨基葡萄糖,营养药,注射剂,补充机体所需的氨基酸等营养物质,静脉滴注,剂量视病情而定,妇产科手术,输卵管通液术,乳腺科,主要治疗乳腺疾病，如乳腺增生、乳腺癌等,乳腺X线机、乳腺超声仪、乳腺磁共振仪等,主任医师、副主任医师、医师,PH值,血常规检查,血常规检查是一种用于评估血液健康和相关疾病的医学检查方法。,硬膜针,脑出血,头颈部,手术器械盘、手术钩、拔钩器,自费和医保结合,中度症状,未婚,实习,神道教,静脉麻醉,轻度疼痛,Rh阴性,已过期,产钳助产,乳腺X线摄影,臀先露,尿蛋白阳性,失眠,维持规律的作息时间、提供有趣的活动、保持社交互动，注意照顾患者的情绪和心理状态；根据症状使用相应药物，如乙酰胆碱酯酶抑制剂等。
10月17日,2006 10 17 06:36:37,1985,八月,Sweden,湖北省,海南省北京县东丽辛集街,刘峰,m,360924195610045199,86 15393944673,0827-3744-4300,台盟盟员,汉族,非全日制普通本科,陶瓷艺术设计,四通传媒有限公司,SPA 技师,56b050dc-bf0e-4060-a225-cd433e652f8f,juandong@gmail.net,5187488f2604b9ed3b06149a4a2a03953e8d1b9fae825b9226e523f7b55542be,gaojiang.cn,217.160.85.37,4786:5452:ae83:f4b6:2381:d90b:28ea:b358,ee:78:b8:f1:99:be,http://ui.cn/,xh,新U-SC1YA,4131600081246255403,巴黎银行,38695346-0,52653221E3165W0X5P,社会主义学院,郑州大学第二附属医院,菏泽市开发区岳程辛集小学,H9142091019,T87955818,PYL011699762739,P78623408,341001TR9QPARX5,199862449532200992513196032,147622625912231,410900100013687,LEWWDB332KN231818,124144015209,J3388202018497,6222453355855979520,海字第8974852号,闽交运管许可柘字350926851585号,军密认字第5478号,硝苯地平,处方药,片剂,治疗高血压、冠心病等疾病,口服,成人：每次10mg，每日3次，每次用量可增至20mg。,胃肠外科手术,下消化道内窥镜检查,普通外科,主要进行普通外科手术，如胃肠道手术、甲状腺手术、乳腺手术等,手术室、外科手术器械、镊子、剪刀等,主任医师、副主任医师、医师、技师、护士,白蛋白/球蛋白比值（A/G）,尘肺病检查,尘肺病检查是一种通过评估呼吸系统的功能和健康来检测尘肺病的医学检查方法。,铁夹,子宫肌瘤,盆腔,导管、探测器、手术马克,公费医疗,建议隔离,丧偶,退休,图腾崇拜,硬膜外麻醉,重度疼痛,Rh阳性,已开封,产瘤助产,磁共振成像,斜位,C-反应蛋白升高,恶心,饮食补钙、户外运动、避免长期服用激素和抗癫痫等药物。
一九八一年六月二日,十三时九分三秒,1976年,二月,中华人民共和国,广西壮族自治区,云南德宏傣族景颇族自治州陇川县勐约乡瓦幕村,王凯,Male,360301195404242944,8618766208126,0511 770 3968,团员,汉族,函授,电信工程及管理,时空盒数字科技有限公司,木工,912ac981-c85a-11ed-9814-f4b5204be593,juan30@qq.org,d5c8efcdafdba0a5d254e17126f59042,xia.net,36.159.175.151,9af4:7b70:7d03:4965:ec2f:bee2:7fbc:449a,f0:bc:05:e6:16:10,https://dummyimage.com/860x978,wguifang,豫UCP2YKU,30561647332308,满地可银行,25542816-4,912202023436325792,阿里地红十字会,郴州市第一人民医院,福建卫生职业技术学院,U5318359352,T40709941,JXZ480096879262,G33894207,542526NU03JDY13,201345436440101014508404736,148361025331009,410900100014103,LEWWDB332KN231635,161239976209,L5381824783883,6250066257001889792,装字第9016170号,皖交运管许可霍字342427232038号,军密认字第5102号,维生素C,非处方药,片剂,养护身体、增强免疫力等,口服,每次1片，每日2-3次,心脏手术,动脉导管闭合术,呼吸内科,专业治疗各种呼吸系统疾病，如肺炎、肺结核、哮喘等,呼吸机、动脉血气分析仪、呼气中止压法测肺容积等,主任医师、副主任医师、医师、护士,磷酸盐,胰岛素水平检查,胰岛素水平检查是一种用于检测血液中胰岛素水平的医学检测方法。,电钻,睡眠呼吸暂停,全身,手术刀、吸氧机、注射器,自费,恶化,丧偶,实习,一神论,全身麻醉,重度疼痛,A型,未开封,自然分娩,磁共振成像,斜位,白细胞计数升高,腹痛,控制饮食、戒烟限酒、进行规律的有氧运动（如快走、游泳等）、服用药物（如阿司匹林、硝酸甘油等）。
201202,二月二十七日九时四分,1975,十一月,CN,辽宁,广东省博县清城李街r座,赵芳,f,321204197405196923,15387384597,05933194810,群众,汉族,自考,化学测量学与技术,济南亿次元网络有限公司,药品市场推广经理,6dc19f2a-c85a-11ed-b05f-f4b5204be593,fsu@sohu.com,ef043e5efc2bfc7dfd685ea44437acb299e0935c,yulong.cn,216.70.163.55,6eda:8492:dccb:d54f:f199:65e7:22f7:7054,bc:a1:a4:c0:58:a8,https://73.net/,ll,WJ冀9084S,2253908254391109,汇丰中国银行,58892132-8,92140403738168221A,辽宁省档案局,九江市第一人民医院,绍兴职业技术学院,Q6486113724,T26704599,EHO061236010908,G74607847,513624PXERFY4B2,200423029650103006323015680,144371300183116,410900100013316,LEWWDB332KN231538,113523520209,J4018549375949,6282873749243530240,成字第3828665号,新交运管许可阿字653023462557号,军密认字第8637号,可待因口腔溶液,处方药,口腔溶液,缓解口腔疼痛等症状,口服,每日3次，每次10-20滴。,心脏手术,冠状动脉万有引流术,康复理疗科,主要进行各种身体功能障碍的康复治疗，如中风、脑损伤、骨科康复等,肌电治疗仪、康复训练器、功能评估仪等,主任医师、康复师、理疗师、医师、护士,血清人类绒毛膜促性腺激素（hCG）,胃肠道镜检查,采用内窥镜进入胃肠道进行检查，了解胃肠道疾病情况,输液器,冠心病,心脏系统,电切器、手术马克、止血钳,公费医疗,正常,丧偶,无业,图腾崇拜,硬膜外麻醉,重度疼痛,Rh阳性,已开封,自然分娩,磁共振成像,斜位,血脂异常,耳鸣,注意以清淡饮食为主，提高免疫力。避免抑制免疫系统的药物，如糖皮质激素等。专业治疗。
2016/03/19,04时43分30秒,1977年,十一月,中国,双鸭山市,西藏自治区南宁市新城兴城街,朱丽华,女性,659000194307141332,139 9834 4202,0413675470,党员,汉族,网络教育,艺术史论,毕博诚传媒有限公司,传菜员,e9325e88-78ac-41a3-b65b-1ec337df87fd,guiying02@189.net,f654471609c6132fd6ea22c54380d7a3,pingjuan.cn,23.231.46.14,8f20:626a:2c1a:a80c:88cb:696f:6592:feec,88:30:ca:9e:34:4d,http://www.zu.org/,zhuanghongxia,青L-AUJBD8,5233580625716534,中国建设银行,E1QBKYPH-3,592308838KC4XGUU7Y,甘南藏族自治州台办,陕西省人民医院,宁阳县葛石镇皋山小学,N2537217715,T46766310,VUY534241361684,P87381918,41030194M9D0TY2,202144822610627999916097536,130330283958353,410900100013339,LEWWDB332KN231622,199390444209,J1365719656642,6282073387171699712,济字第7630565号,冀交运管许可饶字133027534482号,军密认字第2656号,硝酸甘油,处方药,含片,治疗心绞痛等疾病,含服,每次放置于舌下，直至溶解，每日2-3次。,妇产科手术,宫腔镜下子宫肌瘤剜除术,神经内科,专门治疗神经系统疾病，如中风、脑炎、癫痫等,脑电图仪、磁共振引导下定向脑穿刺、颅内压监测仪等,主任医师、副主任医师、医师、技师、护士,上皮细胞,脊柱X光,脊柱X线检查是一种检查脊椎骨骼结构和健康的医学影像检查方法。,止血布,贫血,全身,手术器械盘、手术钩、拔钩器,医疗补助,未诊断,离异,离职,万物有灵论,脊麻醉,中度疼痛,O型,未开封,产钳助产,乳房超声,横位,白细胞计数升高,冷汗,忌食刺激性食物、非甘油类泻药，并按照医生嘱咐使用相应药物。
10月07日,1988 10 07 20:20:28,2014年,May,cn,中山市,贵州省铜仁市印江土家族苗族自治县峨岭镇桶溪村,谢淑华,女性,14022119720512592X,+86 18681532521,0595-813-3500,民进会员,满族,非全日制普通高职,信用风险管理与法律防控,趋势信息有限公司,质量安全,c17e88f8-c85a-11ed-a611-f4b5204be593,gang18@sina.org,c869d90acb52e1ccfbbcbd95018ccee9,jieyang.cn,139.90.150.26,49b9:1ea7:bbde:9834:811d:f408:ce8b:611f,bd:f5:5c:7c:86:0c,https://dummyimage.com/338x334,meiqin,苏U7YTWFZ,30346384771110,蒙特利尔银行,TLXFNPBY-3,93220202468531392H,福建省交通运输厅,山禾国药有限公司卫生所,江苏城乡建设职业学院,E0047274109,T58710492,SZX610250981584,E40240567,350800G47MB6R61,20031462351250019930913645X,110542338781469,410900100014038,LEWWDB332KN231158,132760750209,L5993710788229,6221457630487619584,北字第6791244号,赣交运管许可进字360124764474号,军密认字第5448号,泮托拉唑,处方药,胶囊,治疗消化性溃疡、胃食管反流病等,口服,成人：每次20mg，每日1次。,中医手术,艾灸手术,眼科,主要进行各种眼科手术和治疗，如白内障手术、近视矫正手术、青光眼治疗等,眼科手术器械、眼科手术显微镜、视力测试仪等,主任医师、副主任医师、医师、技师、护士,血小板计数（PLT）,心脏核素显像,心脏核素显像是一种通过注入小量放射性物质来检测心脏功能和血液流动的医学检测方法。,一次性无纺布手术衣,前列腺癌,泌尿生殖,电凝器、手术马克、C光机,医疗补助,有,已婚,学生,苦行派,脊麻醉,无痛,O型,未开封,剖腹产,乳腺触诊,头先露,白细胞计数升高,乏力,戒烟、减少空气污染、运动锻炼、使用药物（如吸入性支气管扩张剂、口服或吸入性类固醇等）等。
1999年05月,05-03 15:40,1976年,4月,New Zealand,北京,云南省张家港市大东林路1408号,李玉华,Female,230129651217710,+86156-7005-5698,0811 202 5276,共青团员,汉族,夜大,临床工程技术,佳禾信息有限公司,主管,7d97d91d-ad3c-4499-8d7e-3ccd10456eeb,rhe@outlook.org,6708c0acdfe845bbebba46a93d4d025c24c7b16af8a0c14589ab27afb8e5ae3e,04.cn,160.173.178.103,a1b3:141f:55a5:25d7:394:53d3:4261:4180,31:b9:90:7e:31:63,http://houwan.cn/,yueyan,WJ鄂20244,5351124719508121,欧力士银行,58879612-5,92450328846132162L,葫芦岛科技厅,协和西院,夏津县银城街道西关小学,M6572509240,T66047178,HDN882347873551,D97591645,350601MJHJY4XG5,200561585451122009520996352,143450225686331,410900100013599,LEWWDB332KN231419,185881317209,L5025028331747,6282827734554850304,装字第8489788号,浙交运管许可淳字330127305591号,军密认字第0404号,头孢拉定,抗菌药,注射剂,治疗社区获得性肺炎、泌尿道感染等,静脉滴注,每次1-2g，每日2-4次,心脏手术,起搏器植入术,床旁超声科,主要利用床旁超声设备进行快速无创诊断，提高病情判断准确率,床旁超声设备、经食管超声设备等,主任医师、医师、技师,钙（CA）,胆囊超声,胆囊超声是一种使用超声波技术来检查胆囊结构和功能的医学影像检查方法。,安乃近,尿毒症,全身,手术机、椎板、心电图机,医疗救助,确定,离异,无业,伊斯兰教,表面麻醉,中度疼痛,AB型,已过期,自然分娩,乳房超声,横位,尿蛋白阳性,无症状,手术、放疗、化疗等治疗方式，具体方案根据患者的病情和病理特征进行选择。
5月23日,1971-05-23 22:51:35,2002,9月,格陵兰岛,山西长治,安徽省明县城北西安街,钱玉华,F,620800197704288446,+8614509841729,0392570474,群众,汉族,非全日制普通高中,古生物学,济南亿次元传媒有限公司,乘务员,75ee7cfb-c85a-11ed-99b1-f4b5204be593,yanyao@126.net,253433c9b4310ab6626e6daa249c1bf8,am.cn,100.8.5.163,a7a4:5473:85bd:1d0c:fb8:6c44:5fd4:bcf5,b6:6d:2b:4e:2e:d8,http://www.mt.cn/,caixu,WJ苏7230X,3527386694140360,成都市商业银行,81197443-1,935001191397245727,新闻出版局,华澳整形美容网,郯城县花园乡冷庙小学,S2893773215,T32893092,CNU588898726298,G89046248,500228NY66QT2M1,201254572460204988523610112,110320601816976,410900100013991,LEWWDB332KN231212,192589109209,L4662439227407,6217011735200249856,济字第6978534号,黑交运管许可嘉字230722828413号,军密认字第2556号,丙硫氧嘧啶,处方药,注射剂,治疗肝癌等疾病,静脉注射,剂量因病情而异。,神经外科手术,脊髓肿瘤切除术,呼吸科,主要进行各种呼吸疾病的诊治，如肺结核、哮喘等,呼吸机、氧气吸入器、支气管镜等,主任医师、副主任医师、医师、技师、护士,类风湿因子（RF）,血小板计数,检查血液中的血小板数量，了解患者血液状况,手术镊子,胆结石,胆囊,显微镜、手术马克、手术刀,自费,无,未婚,学生,天主教,全身麻醉,轻度疼痛,A型,未开封,自然分娩,乳腺X线摄影,臀先露,肝功能异常,无症状,控制饮食、戒烟限酒、进行规律的有氧运动（如快走、游泳等）、服用药物（如阿司匹林、硝酸甘油等）。
二零一八年七月,2018年07月21日 14:06,1999,十一月,维尔京群岛,安徽六安,河南省郑州市永川褚街,张佳,男性,44078519690904586X,18891571389,0753 860 2099,团员,汉族,全日制博士研究生,机械工程,创联世纪网络有限公司,专柜彩妆顾问(BA),9855b66e-2543-4625-8827-4eab0d91b5d0,yaowei@outlook.com,77f4efb4f1fbe1c8fb2593e56410d18ba4555e45d0007d46963323736b8b623e,pingfang.cn,60.140.225.86,d264:eca:273:f114:d5b5:242d:1dc:8669,3f:5f:91:52:33:39,https://www.minxiulan.net/,huangmin,WJ皖90950,180009699465962,常熟农村商业银行,94668364-X,91500106556356651D,专用通信局,杰能科生物工程公司卫生所,上海民远职业技术学院,I7585115930,T25745609,PGB249999820642,G69507540,432322LJEL2QUA1,200811425140821983483658240,147522629743437,410900100013545,LEWWDB332KN231898,146190246209,L4986697581712,6255062178610499584,沈字第7808842号,贵交运管许可独字522726558560号,军密认字第2519号,易瑞培南,抗菌药,注射剂,治疗腹腔、胆道感染等疾病,静脉滴注,每日2次，每次1g。,胃肠外科手术,胃癌切除术,急诊科,主要进行紧急救治，如心肺脑复苏、创伤救治、濒死病人抢救等,全自动心电监护系统、手持式无线心电监护仪、人工呼吸机等,主任医师、医师、技师、护士,C-反应蛋白（CRP）,皮肤过敏试验,皮肤过敏试验是一种检查身体对特定物质的过敏反应的医学检查方法。,一次性采血器,主动脉剥脱,胸部,手术刀、手术钩、止血钳,自费和医保结合,隔离期,复婚,自雇,祖先崇拜,静脉麻醉,麻痹,Rh阴性,已过期,剖腹产,乳腺活检,足先露,尿蛋白阳性,呕吐,决不能服用硝酸甘油等扩血管的药物、避免饮食不良、限制脂肪的摄入、坚持锻炼、防止并发症的发生等。
2017年09月,2017-09-13 19:21,一九八一年,7月,Iran,石嘴山市,河南省郑州市登封市嵩阳街道办事处嵩山村,黄明,M,330109193809032430,13609863962,0775 8259 6874,中共党员,汉族,函授,阿拉伯语,黄石金承传媒有限公司,编导,88cf3aad-c85a-11ed-822b-f4b5204be593,jingtan@outlook.com,ebe71f0013e8c5511db39670f23df005,yongfeng.cn,66.122.9.192,2153:8275:b51e:dffc:2571:6629:af14:8bb0,5f:7d:38:76:3f:27,https://huangdong.org/,cg,WJ苏4963S,2548188514615523,新华村镇银行,Q4QLX6EH-5,9244140274446697BT,无线电管委会办公室,郑州同济医院,济南市新苑小学,M7587794209,T64886005,ZJW905823807261,G87527877,230606E075J0BE8,201322540510704998335643648,148411702633982,410900100014176,LEWWDB332KN231478,192335267209,L1240667899133,6230905079952969728,装字第0155526号,黑交运管许可穆字231085514915号,军密认字第3376号,复方甘草口服溶液,非处方药,中药饮片,缓解口腔炎症等症状,口服,每次5-10ml，每日3次。,眼科手术,青光眼手术,肛肠外科,主要治疗肛门和直肠疾病，如痔疮、肛瘘、直肠癌等,肛肠镜、蜡烛治疗仪、凝血拍打装置等,主任医师、副主任医师、医师、技师、护士,高密度脂蛋白胆固醇（HDL-C）,心脏起搏器植入术,心脏起搏器植入术是一种治疗心脏疾病的手术方法，通常通过导管或手术在心脏中植入起搏器。,手术治疗床,坐骨神经痛,下肢,手术镜、钳子、除颤器,医疗补助,中度症状,丧偶,在职,印度教,脊麻醉,重度疼痛,O型,未开封,剖腹产,磁共振成像,斜位,血糖水平高,多食,饮食要注意富含钙、维生素D，加强锻炼以有利于康复。术后按医生要求进行紧急康复等指导。
05月4日,1988 05 04 22:42:07,1988年,十月,cn,达州市,四川省丹丹市长寿李街R座,尹艳,女,450502199011291718,18974012201,04297302579,群众,汉族,全日制普通职业高中,华文教育,维涛网络有限公司,保险客户服务,c6c9fccb-c85a-11ed-ba7e-f4b5204be593,rtan@outlook.net,90a14ae8ad4fe8742d112cc1393273d583c0bf059e62655bed831edb93e8b408,guiyingyong.com,171.215.42.184,c879:fa7a:1e0b:5052:30d3:61a6:ae0e:1745,97:64:07:42:ff:df,http://www.wenli.cn/,hy,沪Q6BUJC,3507204431011667,荷兰银行,25748131-3,93360726493092176A,拉萨市教育厅,常州市第一人民医院,青岛市即墨区金口建行希望小学,C1150237986,T62827161,BJC779576814632,G39311298,410724F01PRWAC0,20165338736102220210615710X,143622725459966,410900100014204,LEWWDB332KN231254,166290047209,J3610149719055,6231577658756389888,成字第8903976号,吉交运管许可安字222426953022号,军密认字第9927号,奥硝唑阴道泡腾片,处方药,阴道泡腾片,治疗阴道炎等疾病,阴道内放置1片,用量因病而异。,整形手术,隆胸手术,消化内科,主要进行各种消化道疾病的诊治，如胃溃疡、胰腺炎等,消化内镜、超声内窥镜、腹腔镜等,主任医师、副主任医师、医师、技师、护士,免疫球蛋白G（IgG）,动态心电图,通过对患者进行24小时心电监测，评估心脏状况,口罩,肺部结核,呼吸系统,照射器、手术钩、拔钩器,公费医疗,未知,复婚,自雇,犹太教,硬膜外麻醉,麻痹,Rh阳性,已开封,产瘤助产,乳腺活检,足先露,C-反应蛋白升高,失眠,不适宜饮用大量水分，更不能喝酒。根据情况选择盐的限制，控制 proteinuria、适度运动、避免中药乱用。
2009年08月28日,六时二十九分五十九秒,一九七四年,12月,中国,泉州市,澳门特别行政区沈阳县西夏邯郸街,乔杰,M,520112950902632,+86 15085561058,04715194090,预备党员,汉族,全日制普通高级中学,口腔医学技术,凌颖信息传媒有限公司,熟食加工,bf4d587f-31b8-4833-a448-f87b63f137a2,mingdong@sina.net,8b8deda2c744c727590f8252faf058a633a6777614a963bf216c5305d2c751d0,junhu.cn,211.19.41.2,1403:97bb:57ef:7e84:1c32:f2d1:ca52:181e,81:24:4d:72:15:7a,http://www.vh.cn/,pp,甘LN95J1S,375757436984878,德意志银行,35858674-7,91610626490296579A,药监局,广州中医药大学第一附属医院,广州卫生职业技术学院,D6676041341,T92469488,UIV562537517766,E97131499,2112235J7Q6FQ1X,200315839411220989584867328,143210304540668,410900100014099,LEWWDB332KN231149,171250780209,J6181964176373,6216381636871459840,装字第1618327号,新交运管许可克字653000653670号,军密认字第2735号,盐酸曲马多,处方药,片剂,缓解中度至重度疼痛,口服,成人：一次1-2片，每日3-4次。,骨科手术,膝关节镜手术,感染性疾病专科,专业治疗各种感染性疾病，如艾滋病、肺结核、性病等,病原学检测设备、快速诊断试剂盒、抗感染药物等,主任医师、副主任医师、医师、护士,凝血酶原时间,阴道分泌物检查,阴道分泌物检查是一种检查女性生殖道健康的医学检查方法。,敷料,口腔溃疡,口腔,电钻、电凝器、显微镜,保险,隔离期,离异,退休,东正教,局部麻醉,中度疼痛,B型,已开封,产钳助产,乳房超声,横位,血压偏高,月经不调,制定合理的饮食计划，避免食用高嘌呤食物，如动物内脏、肉类、海鲜等。保持适当的运动量，避免过度劳累。
